,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_title,zip_code,latitude,longitude
132725,8289,calle del Poeta Blas de Otero,VENTAS,72.0,68.0,3,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,844,,False,178000,2472,True,HouseType 1: Pisos,False,False,1965.0,False,True,,,,True,True,,,,,True,,,,,en trámite,False,,,,,,,,,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132732,8187,calle del Poeta Blas de Otero,VENTAS,80.0,65.0,3,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,3,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,851,,False,180000,2250,True,HouseType 1: Pisos,False,False,1963.0,False,True,,,,True,True,,,,,,,,,,E,False,,,,,,,,,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132739,7980,calle del Poeta Blas de Otero,VENTAS,70.0,,3,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,5,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,881,,False,189000,2700,True,HouseType 1: Pisos,False,False,,,,,,,True,True,,,True,,,,,,,G,False,,,,,,,,,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132746,7965,calle del Poeta Blas de Otero,VENTAS,60.0,,2,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,4,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,881,,False,189000,3150,True,HouseType 1: Pisos,False,False,,False,True,,,True,False,True,,,,,,,,,,G,False,,,,,,,,,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132753,8875,"calle de Alcalá, 275",CONCEPCION,85.0,,3,1.0,,,"Calle de Alcalá, 275",False,Calle de Alcalá,275,,3,False,,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,sale,1250,,False,320000,3765,True,HouseType 1: Pisos,True,False,,,,,,,True,True,,,,,,,,,,no indicado,True,,,True,0.0,False,False,False,True,"calle de Alcalá, 275, Concepción, Madrid",28027.0,40.4321768,-3.6558153
132754,8874,Zigia,QUINTANA,50.0,,2,1.0,,,Zigia,True,Zigia,,,Bajo,True,,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,sale,851,,False,180000,3600,True,HouseType 1: Pisos,False,False,1950.0,False,True,,,,True,True,,,,,,,,,,en trámite,False,,,,,False,True,True,False,"Zigia, Quintana, Madrid",28027.0,40.4392959,-3.6438384
132756,8839,Zigia,QUINTANA,50.0,,2,1.0,,,Zigia,True,Zigia,,,Bajo,True,,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,sale,851,,False,180000,3600,True,HouseType 1: Pisos,False,False,1950.0,False,True,,,,True,True,,,,,,,,,,en trámite,False,,,,,False,False,True,False,"Zigia, Quintana, Madrid",28027.0,40.4392959,-3.6438384
132758,8873,NUESTRA SEÑORA DEL VILLAR,VENTAS,54.0,,2,1.0,,,NUESTRA SEÑORA DEL VILLAR,True,NUESTRA SEÑORA DEL VILLAR,,,4,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,686,,False,135000,2500,True,HouseType 1: Pisos,False,False,1960.0,False,True,,True,,False,True,,,,,,,,,,en trámite,False,,,,,,,,,"NUESTRA SEÑORA DEL VILLAR, Ventas, Madrid",28017.0,40.4235418,-3.6524526
132759,8872,pasaje de Caleruega,COSTILLARES,212.0,,4,3.0,,,Pasaje de Caleruega,True,Pasaje de Caleruega,,,8,False,,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,sale,2234,,False,750000,3538,True,HouseType 1: Pisos,False,False,,True,False,,,True,True,True,,True,True,,True,,,,True,en trámite,False,,,,,True,False,False,True,"pasaje de Caleruega, Costillares, Madrid",28033.0,40.4803088,-3.6713341
132760,8869,"calle Hermanos Machado, 14",VENTAS,117.0,90.0,3,2.0,,,"Calle Hermanos Machado, 14",False,Calle Hermanos Machado,14,,3,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,1416,,False,390000,3333,True,HouseType 1: Pisos,False,False,1979.0,False,True,,True,True,True,True,,,True,True,True,,,,,en trámite,True,,,False,27000.0,False,True,False,True,"calle Hermanos Machado, 14, Ventas, Madrid",28017.0,40.4321633,-3.6494302
