,id,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,operation,buy_price,house_type_id,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,full_title,zip_code,latitude,longitude,zip_codes_count,hosts_count_per_zip_code,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio
133629,8168,SAN PASCUAL,59.0,,2,2.0,6,0.0,sale,234000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,E,0,"calle de Torrelaguna, San Pascual, Madrid",28027,40.4443842,-3.6548461,233,192,0.1759656652360515,25.338888888888892,4015.76,0.2542482618483176
133631,8558,QUINTANA,55.0,,1,1.0,2,0.0,sale,260000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,A,1,"calle DOCTOR VALLEJO, Quintana, Madrid",28027,40.4375831,-3.6444009,233,192,0.1759656652360515,25.338888888888892,2900.58,0.3771659461211206
133632,8557,VENTAS,75.0,70.0,3,2.0,3,0.0,sale,180000,HouseType 1: Pisos,0,0.0,1.0,0.0,,,0.0,1.0,1.0,,en trámite,0,"calle FRANCISCO VILLAESPESA, Ventas, Madrid",28017,40.4287014,-3.6486355,327,268,0.18042813455657492,27.03333333333333,2686.93,0.3167183365402151
133633,8556,VENTAS,44.0,30.0,2,1.0,Bajo,1.0,sale,125000,HouseType 1: Pisos,0,0.0,,,,1.0,0.0,1.0,,,en trámite,0,"calle Sor María de Ágreda, Ventas, Madrid",28017,40.4301721,-3.6479136,327,268,0.18042813455657492,27.03333333333333,2686.93,0.2404230850822314
133635,7997,VENTAS,51.0,,2,1.0,4,0.0,sale,160000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,C,0,"calle Sor María de Ágreda, Ventas, Madrid",28017,40.4301721,-3.6479136,327,268,0.18042813455657492,27.03333333333333,2686.93,0.2902941274986695
133637,8555,COSTILLARES,125.0,,4,1.0,2,0.0,sale,485000,HouseType 1: Pisos,0,0.0,1.0,0.0,,1.0,0.0,1.0,,1.0,en trámite,1,"calle ELADIO LÓPEZ VILCHES, Costillares, Madrid",28033,40.4738978,-3.6651782,151,119,0.21192052980132448,26.7625,4235.69,0.3855334077800784
133638,8552,VENTAS,63.0,,3,1.0,3,0.0,sale,220000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,en trámite,0,"calle San Maximiliano, Ventas, Madrid",28017,40.4226703,-3.656565,327,268,0.18042813455657492,27.03333333333333,2686.93,0.3643563472066634
133641,8247,VENTAS,66.0,,3,1.0,2,0.0,sale,175000,HouseType 1: Pisos,0,,,,,1.0,1.0,,1.0,,en trámite,0,"calle San Maximiliano, Ventas, Madrid",28017,40.4226703,-3.656565,327,268,0.18042813455657492,27.03333333333333,2686.93,0.3100192412902458
133644,7881,VENTAS,87.0,78.0,3,1.0,3,0.0,sale,235000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,,en trámite,0,"calle San Maximiliano, Ventas, Madrid",28017,40.4226703,-3.656565,327,268,0.18042813455657492,27.03333333333333,2686.93,0.38110408533158663
133647,8551,VENTAS,63.0,60.0,2,1.0,3,0.0,sale,175000,HouseType 1: Pisos,0,0.0,,,1.0,,0.0,1.0,,,en trámite,0,"avenida del Marqués de Corbera, 34, Ventas, Madrid",28017,40.4245227,-3.6532123,327,268,0.18042813455657492,27.03333333333333,2686.93,0.3100192412902458
133648,8550,VENTAS,59.0,,2,1.0,1,0.0,sale,134000,HouseType 1: Pisos,1,0.0,,,,1.0,0.0,1.0,,,en trámite,0,"calle Pablo Lafargue, 38, Ventas, Madrid",28017,40.4217271,-3.652539530534241,327,268,0.18042813455657492,27.03333333333333,2686.93,0.25382127558217
133649,8549,VENTAS,67.0,60.0,3,1.0,4,0.0,sale,174900,HouseType 1: Pisos,0,0.0,,,1.0,,0.0,0.0,1.0,,no indicado,0,"calle Juan de Arolas, 6, Ventas, Madrid",28017,40.430423000000005,-3.647486651097174,327,268,0.18042813455657492,27.03333333333333,2686.93,0.3100192412902458
133650,8548,SAN JUAN BAUTISTA,110.0,,4,2.0,2,0.0,sale,349000,HouseType 1: Pisos,1,0.0,,,,1.0,1.0,1.0,1.0,1.0,no indicado,0,"calle Treviana, 6, San Juan Bautista, Madrid",28043,40.4489923,-3.6586568,140,106,0.24285714285714288,27.23009708737864,4098.7,0.32205333398394614
133651,8547,SAN PASCUAL,55.0,,2,1.0,3,0.0,sale,299000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,no indicado,0,"calle Pilar Cavero, 6, San Pascual, Madrid",28027,40.4472162,-3.6457196,233,192,0.1759656652360515,25.338888888888892,4015.76,0.2980755822061079
133652,8546,CONCEPCION,77.0,64.0,2,1.0,2,0.0,sale,225000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,en trámite,0,"calle Virgen del Coro, 2, Concepción, Madrid",28027,40.4336737,-3.6585022,233,192,0.1759656652360515,25.338888888888892,3341.09,0.29750769958307016
133654,8401,CONCEPCION,67.0,,2,1.0,Bajo,1.0,sale,186100,HouseType 1: Pisos,1,0.0,,,,,1.0,0.0,,,no indicado,0,"calle Virgen del Coro, 2, Concepción, Madrid",28027,40.4336737,-3.6585022,233,192,0.1759656652360515,25.338888888888892,3341.09,0.26069336653607056
133656,8545,SAN PASCUAL,105.0,100.0,3,2.0,7,0.0,sale,640000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,en trámite,1,"calle Caribe, 4, San Pascual, Madrid",28027,40.4424414,-3.6554367,233,192,0.1759656652360515,25.338888888888892,4015.76,0.4952985238161643
133657,8544,VENTAS,67.0,,1,1.0,1,0.0,sale,199000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,en trámite,0,"calle Ramón Patuel, 23, Ventas, Madrid",28017,40.4275344,-3.6550379,327,268,0.18042813455657492,27.03333333333333,2686.93,0.339792997956776
133658,8542,PUEBLO NUEVO,90.0,,2,2.0,5,0.0,sale,425000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,no indicado,1,"calle Llanos de Escudero, 22, Pueblo Nuevo, Madrid",28017,40.4260942,-3.6404351,327,268,0.18042813455657492,27.03333333333333,2578.87,0.58009903562413
133659,8541,VENTAS,150.0,148.0,2,2.0,Bajo,1.0,sale,575000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,en trámite,1,"calle del Apóstol Santiago, 59, Ventas, Madrid",28017,40.4288179,-3.6551078529899126,327,268,0.18042813455657492,27.03333333333333,2686.93,0.6844242313718631
133660,8540,COLINA,93.0,,3,2.0,1,0.0,sale,430000,HouseType 1: Pisos,0,0.0,,,1.0,1.0,1.0,1.0,1.0,,inmueble exento,0,"calle Vicente Muzas, 2, Colina, Madrid",28043,40.4592017,-3.6603386,140,106,0.24285714285714288,27.23009708737864,4677.53,0.322392373752814
133661,8539,PUEBLO NUEVO,78.0,70.0,3,2.0,4,0.0,sale,240000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,,0.0,0.0,,,E,0,"calle de Emilio Ferrari, 29, Pueblo Nuevo, Madrid",28017,40.4331075,-3.64238905869506,327,268,0.18042813455657492,27.03333333333333,2578.87,0.4025018709744966
