,full_title,latitude,longitude
177,"calle del estroncio, 11, Los Rosales, Madrid",40.3474954,-3.6903199
178,"calle de Beniferri, San Cristóbal, Madrid",40.3446825,-3.690072
179,"calle el Huésped del Sevillano, Madrid, Los Ángeles, Madrid",40.3562153,-3.6974183
180,"calle de Rocafort, 14 j, San Cristóbal, Madrid",40.3412537,-3.6864471
181,"maricara, Butarque, Madrid",40.3393855,-3.678538923762037
182,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
183,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
184,"calle de Rocafort, San Cristóbal, Madrid",40.3421917,-3.6861721
185,"calle de Benimamet, 6, San Cristóbal, Madrid",40.3462379,-3.6841597
186,"calle María de Echarri, Los Rosales, Madrid",40.3584213,-3.6829116
187,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",40.3553618,-3.6976808
188,"plaza Pinazo, San Cristóbal, Madrid",40.3442088,-3.6917032
189,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
190,"calle de Rocafort, San Cristóbal, Madrid",40.3421917,-3.6861721
191,"calle la Canción del Olvido, Los Ángeles, Madrid",40.3584395,-3.6994969
192,"calle Beniferri, San Cristóbal, Madrid",40.3443699,-3.6909654
193,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
194,"Sahara, Los Rosales, Madrid",40.3533168,-3.6907467
195,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
196,"calle la Canción del Olvido, 43, Los Ángeles, Madrid",40.3573207,-3.6997364927914096
197,"Generosidad, 14, Los Rosales, Madrid",40.3597743,-3.6912572
198,"calle de Martinez Oviol, 40, Los Rosales, Madrid",40.35099,-3.6884995
199,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
200,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
201,"calle Concepción de la Oliva, Butarque, Madrid",40.3540894,-3.6816592
202,"calle de rocafort, 51, San Cristóbal, Madrid",40.3412537,-3.6864471
203,"calle Ampuero, Los Ángeles, Madrid",40.3497152,-3.6928145
204,"calle Platino, Los Rosales, Madrid",40.3489826,-3.689214
205,"calle de Benimamet, Madrid, San Cristóbal, Madrid",40.3435856,-3.6859913
206,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
207,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
208,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
209,"calle de Rocafort, San Cristóbal, Madrid",40.3421917,-3.6861721
210,"calle de Sáhara, Los Rosales, Madrid",40.3530356,-3.6924521
211,"calle de Juan José Martínez Seco, 87, Los Rosales, Madrid",40.3516003,-3.6926224
212,"calle de Juan José Martínez Seco, 87, Los Rosales, Madrid",40.3516003,-3.6926224
213,"calle Eduardo Minguito, Los Rosales, Madrid",40.3484649,-3.6886982
214,"Encarnación oviol, 45, Los Rosales, Madrid",40.350523,-3.6877894
215,"calle Bario, 20, Butarque, Madrid",40.3478425,-3.6779511
216,"calle Ganados del Salobral, 4, Butarque, Madrid",40.3384998,-3.6764999
217,"calle la Corte del Faraón, Los Ángeles, Madrid",40.3616685,-3.6946548
218,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
219,"calle Potasa, Butarque, Madrid",40.3515611,-3.6802098
220,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
221,"calle del Estroncio, 9, Los Rosales, Madrid",40.3474954,-3.6903199
222,"calle Diamante, 68, Los Rosales, Madrid",40.3535366,-3.6864323
223,"paseo Talleres, 4, Los Ángeles, Madrid",40.34920345,-3.6999041000000004
224,"calle de Rocafort, 51, San Cristóbal, Madrid",40.3412537,-3.6864471
225,"calle Litos, Los Ángeles, Madrid",40.3492589,-3.7005925
226,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
227,"calle de la Alegría de la Huerta, 24, Los Ángeles, Madrid",40.35354395,-3.6954859591744684
228,"travesía Arechavaleta, Los Ángeles, Madrid",40.3504996,-3.6985953
229,"calle Litos, Los Ángeles, Madrid",40.3492589,-3.7005925
230,"plaza Pinazo, San Cristóbal, Madrid",40.3442088,-3.6917032
231,"calle Arechavaleta, Los Ángeles, Madrid",40.3525024,-3.6969414
232,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
233,"calle Alcocer, Los Ángeles, Madrid",40.3492379,-3.6995254
234,"calle Moncada, 115, San Cristóbal, Madrid",40.3409648,-3.6920084
235,"rocafort, San Cristóbal, Madrid",40.3421624,-3.6911032
236,"calle de Rocafort, 17, San Cristóbal, Madrid",40.3412537,-3.6864471
