,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
4821,-1.8536614799640008,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,0.45527431502984744,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-1.6514954205628347,297000
4822,-1.1246635829252025,-0.04374911849207479,-1.8792072921204446,-0.914553067122716,-0.7189315926247088,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-1.1799343452579383,385500
4823,1.6084712878446523,-0.04374911849207479,1.2022174167796287,0.9170032716551278,1.8060413579271255,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,4869.57,1.3095436629333872,930000
4824,1.299325775628903,-0.04374911849207479,1.2022174167796287,0.9170032716551278,1.2223713476666274,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,270,0.053793061887698036,-0.29249703541147476,4548.3,1.5582110112902454,920000
4825,1.523125469691666,-0.04374911849207479,1.2022174167796287,1.5811162563929413,-0.05210316191736873,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,439,1.8200475581262772,-0.08692679136918784,4869.57,0.6015604766644953,675000
4826,1.0238035837234427,-0.04374911849207479,0.34986577489100246,0.9170032716551278,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,0.3618037608863523,640000
4827,-0.8994993433016243,-0.04374911849207479,-1.8792072921204446,-0.914553067122716,-0.05210316191736873,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-1.308474497983232,360000
4828,1.523125469691666,-0.04374911849207479,1.8455137957272374,0.9170032716551278,0.8696511352843243,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,0.9031710434486507,786000
4829,-2.2129635806660173,-0.04374911849207479,-1.8792072921204446,-0.914553067122716,-1.7396549814731244,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,-1.938907214554001,210000
4830,0.37247712787893617,-0.04374911849207479,-0.6472329056664874,0.9170032716551278,-1.7396549814731244,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-1.6629604413179258,295000
