,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
5271,48.0,75.0,2.0,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2754072491654044,149000
5273,52.0,75.0,1.0,1.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,327,0.1804281345565749,27.03333333333333,2686.93,0.307786209540256,173000
5274,50.0,75.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,327,0.1804281345565749,27.03333333333333,2686.93,0.2876889237903481,158000
5275,55.0,75.0,1.0,1.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,327,0.1804281345565749,27.03333333333333,2686.93,0.2835950322487002,155000
5276,47.0,75.0,1.0,1.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.307786209540256,173000
5277,51.0,75.0,2.0,1.0,2.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2374457094155783,123155
5278,58.0,75.0,3.0,1.0,2.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3386764820817811,198000
5279,75.0,75.0,2.0,1.0,4.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3643563472066634,219900
5280,195.0,75.0,4.5,3.5,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,140,0.2428571428571428,27.23009708737864,4098.7,0.6087295971893527,1020000
5281,77.0,75.0,3.0,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2821063444153737,154000
5282,52.0,75.0,2.0,1.0,4.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2612647147488025,139000
5283,56.0,75.0,2.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2623812306237974,139900
5284,72.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3141131328318937,178000
5285,80.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3167183365402151,180000
5286,70.0,75.0,3.0,1.0,5.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3278834952901638,189000
5287,60.0,75.0,2.0,1.0,4.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3278834952901638,189000
